"drug";"target"
"D00270";"hsa:148"
"D03180";"hsa:2555"
"D00228";"hsa:2558"
"D00480";"hsa:1813"
"D01164";"hsa:1129"
"D01332";"hsa:5143"
"D00809";"hsa:6530"
"D02340";"hsa:3362"
"D02341";"hsa:240"
"D00332";"hsa:116444"
"D00631";"hsa:3784"
"D00987";"hsa:3350"
"D00543";"hsa:2566"
"D00882";"hsa:3779"
"D00528";"hsa:3710"
"D03165";"hsa:147"
"D00512";"hsa:6323"
"D00059";"hsa:1816"
"D00464";"hsa:55879"
"D00464";"hsa:55879"
"D05113";"hsa:4985"
"D00546";"hsa:2560"
"D00294";"hsa:3767"
"D00542";"hsa:2567"
"D00665";"hsa:6531"
"D00704";"hsa:2557"
"D00443";"hsa:776"
"D00448";"hsa:5742"
"D00812";"hsa:150"
"D00426";"hsa:1813"
"D00438";"hsa:4306"
"D01164";"hsa:148"
"D00559";"hsa:3350"
"D00544";"hsa:2566"
"D00228";"hsa:2559"
"D02340";"hsa:3361"
"D02335";"hsa:1728"
"D02566";"hsa:150"
"D00416";"hsa:3780"
"D00059";"hsa:1815"
"D00443";"hsa:8911"
"D02253";"hsa:2567"
"D00665";"hsa:6530"
"D01164";"hsa:3269"
"D01108";"hsa:783"
"D00670";"hsa:3356"
"D03165";"hsa:148"
"D00426";"hsa:1812"
"D00332";"hsa:2906"
"D00740";"hsa:3359"
"D00228";"hsa:2560"
"D00544";"hsa:2564"
"D00394";"hsa:154"
"D00506";"hsa:2891"
"D01367";"hsa:2908"
"D04034";"hsa:6609"
"D00443";"hsa:779"
"D03415";"hsa:146"
"D00049";"hsa:8843"
"D00543";"hsa:2567"
"D00543";"hsa:55879"
"D00328";"hsa:2908"
"D01907";"hsa:1633"
"D00331";"hsa:760"
"D02914";"hsa:759"
"D00059";"hsa:1814"
"D00546";"hsa:2566"
"D02234";"hsa:3358"
"D02910";"hsa:8912"
"D04292";"hsa:1136"
"D03274";"hsa:3269"
"D00563";"hsa:148"
"D00563";"hsa:148"
"D00544";"hsa:2562"
"D00544";"hsa:2563"
"D02340";"hsa:3363"
"D00416";"hsa:27094"
"D03742";"hsa:4988"
"D00740";"hsa:3778"
"D02566";"hsa:151"
"D00816";"hsa:3269"
"D00542";"hsa:55879"
"D02066";"hsa:5594"
"D00443";"hsa:778"
"D00636";"hsa:9254"
"D00837";"hsa:4985"
"D00809";"hsa:155"
"D00387";"hsa:55879"
"D00387";"hsa:55879"
"D00665";"hsa:6532"
"D00809";"hsa:3752"
